currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1,Chris Deotte,/cdeotte,grandmaster,1031,2018-03-14,8,8,22
2,SRK,/sudalairajkumar,grandmaster,1001,2012-11-28,5,5,3
3,Larxel,/andrewmvd,grandmaster,880,2016-11-15,6,5,28
4,Chris Crawford,/crawford,grandmaster,656,2015-12-09,7,12,51
5,Ruchi Bhatia,/ruchi798,grandmaster,636,2019-06-04,7,4,0
6,Abhishek Thakur,/abhishek,grandmaster,525,2011-01-12,7,7,13
7,Vopani,/rohanrao,master,434,2013-07-09,6,0,7
8,Tensor Girl,/usharengaraju,grandmaster,402,2015-06-27,7,3,5
9,Bojan Tunguz,/tunguz,master,363,2015-09-11,1,7,20
10,Murilão,/upadorprofzs,master,338,2019-09-20,5,1,0
11,Rachael Tatman,/rtatman,master,316,2017-07-10,3,8,39
12,K Scott Mader,/kmader,master,315,2012-11-04,4,7,10
13,Marília Prata,/mpwolke,expert,313,2019-03-29,0,4,25
14,Abigail Larion,/abigaillarion,master,288,2016-11-16,3,3,43
15,Shivam Bansal,/shivamb,expert,283,2018-01-22,2,1,1
16,Roshan Sharma,/roshansharma,master,273,2019-05-21,1,7,5
17,Mathurin Aché,/mathurinache,expert,263,2011-10-11,1,2,7
18,Devakumar kp,/imdevskp,master,259,2017-09-30,1,4,5
19,Alex Shonenkov,/shonenkov,master,257,2018-05-17,2,4,3
20,Prashant Banerjee,/prashant111,master,255,2018-05-17,2,5,5
21,Mitchell J,/datasnaek,expert,246,2017-08-28,3,1,1
22,Firat Gonen,/frtgnn,master,242,2018-10-07,5,2,0
23,Divyansh Agrawal,/divyansh22,master,235,2019-06-25,1,7,6
24,Yury Kashnitsky,/kashnitsky,expert,233,2014-03-27,1,1,3
25,Esther Kim,/ekim01,master,218,2015-08-04,4,3,16
26,shivan kumar,/shivan118,master,218,2019-06-11,1,6,1
27,Gabriel Preda,/gpreda,expert,217,2016-10-27,1,1,11
28,Noah Daniels,/nbdaniels,expert,212,2018-03-16,0,4,23
29,MAINAK CHAUDHURI,/mainakchaudhuri,expert,178,2020-04-23,0,2,11
30,Moore,/imoore,expert,166,2020-06-20,1,3,1
31,Tawara,/ttahara,expert,158,2015-11-24,0,6,1
32,datartist,/kimjihoo,expert,153,2019-02-14,1,0,2
33,Rounak Banik,/rounakbanik,expert,152,2017-02-23,3,0,0
34,Bulent Siyah,/bulentsiyah,expert,148,2017-08-04,0,3,13
35,Gokul Prakash P,/gokulprakash22,master,141,2020-08-19,1,4,0
36,Saleh Ahmed Rony,/salehahmedrony,expert,136,2019-09-12,0,5,2
37,Parul Pandey,/parulpandey,expert,135,2015-07-26,0,3,7
38,DanB,/dansbecker,expert,134,2011-04-06,2,1,11
39,Neha Prabhavalkar,/nehaprabhavalkar,expert,134,2019-10-19,0,2,7
40,Anmol Kumar,/anmolkumar,expert,127,2018-04-12,1,0,8
41,Aleksey Bilogur,/residentmario,expert,125,2016-10-15,1,3,14
42,Andriy Samoshyn,/mrmorj,expert,123,2019-07-26,0,2,7
43,Ekrem Bayar,/ekrembayar,expert,122,2017-05-03,0,3,5
44,Aayush Mishra,/aayushmishra1512,expert,120,2019-12-10,0,0,13
45,xhlulu,/xhlulu,expert,118,2018-10-12,2,0,7
46,Vitalii Mokin,/vbmokin,expert,117,2018-04-07,0,5,4
47,JohnM,/jpmiller,expert,114,2015-05-31,1,3,1
