currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1,Chris Deotte,/cdeotte,grandmaster,3974,2018-03-14,43,11,3
2,DanB,/dansbecker,grandmaster,3379,2011-04-06,42,3,22
3,Andrew Lukyanenko,/artgor,grandmaster,3258,2016-09-24,40,20,25
4,Abhishek Thakur,/abhishek,grandmaster,2603,2011-01-12,31,16,14
5,Alex Shonenkov,/shonenkov,grandmaster,2125,2018-05-17,18,3,5
6,xhlulu,/xhlulu,grandmaster,1904,2018-10-12,22,12,20
7,DATAI,/kanncaa1,grandmaster,1859,2017-07-06,18,6,4
8,Parul Pandey,/parulpandey,grandmaster,1799,2015-07-26,16,7,21
9,SRK,/sudalairajkumar,grandmaster,1783,2012-11-28,29,14,18
10,Rob Mulla,/robikscube,grandmaster,1747,2016-06-18,20,9,28
11,Konstantin Yakovlev,/kyakovlev,grandmaster,1681,2018-10-25,17,13,9
12,Heads or Tails,/headsortails,grandmaster,1669,2017-04-09,20,0,0
13,Gabriel Preda,/gpreda,grandmaster,1643,2016-10-27,25,24,34
14,Bojan Tunguz,/tunguz,grandmaster,1612,2015-09-11,20,36,98
15,Tarun Paparaju,/tarunpaparaju,grandmaster,1605,2017-10-22,16,8,11
16,Vitalii Mokin,/vbmokin,grandmaster,1426,2018-04-07,15,9,36
17,Prashant Banerjee,/prashant111,grandmaster,1389,2018-05-17,18,20,4
18,Peter,/pestipeti,grandmaster,1377,2017-01-12,15,13,5
19,Mr_KnowNothing,/tanulsingh077,master,1375,2019-02-04,9,4,0
20,Trigram,/nxrprime,master,1281,2020-01-13,6,8,30
21,Shivam Bansal,/shivamb,grandmaster,1273,2018-01-22,24,11,16
22,Raenish David,/raenish,master,1246,2018-08-03,11,5,2
23,Laura Fink,/allunia,grandmaster,1233,2015-11-04,16,5,5
24,Andrada Olteanu,/andradaolteanu,master,1221,2019-08-09,7,5,9
25,Shahules,/shahules,master,1201,2017-04-20,12,6,7
26,Iafoss,/iafoss,grandmaster,1199,2017-08-12,16,2,6
27,Yassine Ghouzam,/yassineghouzam,expert,1181,2017-07-06,3,1,2
28,Rachael Tatman,/rtatman,grandmaster,1166,2017-07-10,22,30,57
