currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1,bestfitting,/bestfitting,grandmaster,221687,2016-09-07,28,8,1
2,Guanshuo Xu,/wowfattie,grandmaster,204592,2015-12-02,15,15,2
3,Psi,/philippsinger,grandmaster,192493,2012-03-29,13,5,0
4,Μαριος Μιχαηλιδης KazAnova,/kazanova,grandmaster,169473,2013-06-24,38,52,38
5,Dieter,/christofhenkel,grandmaster,160728,2017-11-17,13,8,3
6,Giba,/titericz,grandmaster,157675,2012-08-23,54,43,27
7,NQ,/david1013,master,122166,2017-09-28,1,3,0
8,dott,/dott1718,grandmaster,119437,2013-02-14,10,4,1
9,Ahmet Erdem,/aerdem4,grandmaster,117350,2015-11-22,12,14,2
10,CPMP,/cpmpml,grandmaster,108556,2012-12-16,15,16,4
11,Russ Wolfinger,/sasrdw,grandmaster,97360,2015-07-30,14,7,1
12,Qishen Ha,/haqishen,grandmaster,94092,2015-10-22,7,4,2
13,Bojan Tunguz,/tunguz,master,92846,2015-09-11,7,16,27
14,beluga,/gaborfodor,grandmaster,92415,2011-10-05,12,11,11
15,ONODERA,/onodera,grandmaster,85896,2015-03-24,7,11,2
16,Gary,/garybios,grandmaster,85495,2017-09-16,8,8,0
17,DungNB,/nguyenbadung,master,85430,2017-11-06,3,10,4
18,Liao,/alexanderliao,grandmaster,85222,2017-10-12,7,11,4
19,pudae,/pudae81,grandmaster,83536,2017-01-01,7,6,2
20,keetar,/keetar,master,83213,2016-08-31,3,1,0
21,alijs,/alijs1,grandmaster,81812,2016-07-20,8,16,10
22,Mathurin Aché,/mathurinache,master,81215,2011-10-11,5,31,38
23,Oleg Yaroshevskiy,/yaroshevskiy,grandmaster,78978,2016-11-21,5,14,1
24,Ian Pan,/vaillant,grandmaster,77028,2015-01-14,5,5,0
25,Selim Seferbekov,/selimsef,grandmaster,76014,2016-02-20,6,3,1
26,SeuTao,/shentao,grandmaster,75334,2017-04-16,11,4,2
27,n01z3,/drn01z3,grandmaster,74927,2015-08-27,12,20,6
28,Bo,/boliu0,grandmaster,74486,2017-06-11,9,4,4
29,Art,/artkulak,master,73566,2018-08-09,1,2,4
30,ZFTurbo,/zfturbo,grandmaster,72005,2015-11-08,21,25,9
31,Jiayang Gao,/nullrecurrent,master,70949,2019-09-02,2,2,0
32,outrunner,/outrunner,grandmaster,69442,2017-02-28,5,14,3
33,limerobot,/limerobot,grandmaster,69192,2018-02-22,6,3,0
34,Ryan Wong,/taggatle,master,68839,2017-11-26,1,2,1
35,Tom Van de Wiele,/tvdwiele,master,68370,2016-04-11,4,0,0
36,tito,/its7171,grandmaster,67811,2016-03-06,8,11,0
37,Ilia Larchenko,/ilialar,master,67428,2017-03-08,1,12,8
38,Theo Viel,/theoviel,grandmaster,65899,2018-07-12,5,7,3
39,poteman,/poteman,master,65090,2015-11-05,6,12,9
40,See--,/seesee,master,64029,2016-09-11,3,12,4
41,Silogram,/psilogram,grandmaster,63956,2012-12-09,17,30,12
42,andrekos,/andrekos,expert,63498,2012-03-19,0,7,29
43,Chris Deotte,/cdeotte,grandmaster,60923,2018-03-14,5,7,4
44,YuryBolkonsky,/bolkonsky,grandmaster,60694,2017-07-30,6,16,7
45,vecxoz,/vecxoz,grandmaster,60658,2016-04-25,5,15,7
46,DmitryS,/simakov,master,60595,2016-04-26,3,7,4
47,Kohei,/confirm,grandmaster,60325,2011-02-16,19,33,19
48,R Guo,/rguo97,master,56951,2019-08-20,4,3,1
49,YeonJun IN,/mbnb8317,expert,56608,2018-03-16,1,1,0
50,Konstantin Gavrilchik,/dempton,grandmaster,56150,2016-10-30,5,15,1
51,Paulo Pinto,/paulorzp,master,55320,2016-02-22,1,12,16
52,icecuber,/icecuber,expert,54534,2016-07-16,2,0,0
53,Vlad Golubev,/golubev,grandmaster,53083,2017-09-19,6,9,9
54,Rob Mulla,/robikscube,master,53051,2016-06-18,4,8,8
55,yelan,/lanjunyelan,grandmaster,52506,2018-08-28,7,4,0
56,Weimin Wang,/weimin,grandmaster,51008,2014-06-04,11,8,4
57,Nikita Churkin,/churkinnikita,master,50497,2016-04-06,2,11,4
58,YouHan Lee,/youhanlee,grandmaster,49305,2017-07-05,6,8,8
59,Mike Kim,/mikeskim,grandmaster,48680,2012-10-22,7,39,28
60,Dmytro Danevskyi,/ddanevskyi,grandmaster,48380,2016-01-25,5,8,2
