title,totalComments,totalLines,totalViews,totalVotes,versionNumber,aceLanguageName,author.displayName,author.performanceTier,medal,categories,isNotebook,languageName,hasCollaborators,lastRunExecutionTimeSeconds,lastRunTime,scriptVersionDateCreated
Understanding the data + Catalyst/Kekas baseline,120,593,35837,432,104,python,Trigram,3,gold,"[{'competitionCount': 2, 'datasetCount': 19, 'name': 'tpu', 'description': 'This is for content that uses or relates to TPUs', 'totalCount': 77813, 'scriptCount': 77792, 'fullPath': 'admin > accelerators > tpu', 'listingUrl': None, 'tagUrl': '/tags/tpu', 'id': 16574, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,1107,2020-10-14,2020-10-14
FIFA Data Visualization,209,640,40749,539,35,python,Roshan Sharma,4,gold,"[{'competitionCount': 0, 'datasetCount': 186, 'name': 'data cleaning', 'description': None, 'totalCount': 4594, 'scriptCount': 4408, 'fullPath': 'analysis > data cleaning', 'listingUrl': None, 'tagUrl': '/tags/data-cleaning', 'id': 13202, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 19, 'name': 'tpu', 'description': 'This is for content that uses or relates to TPUs', 'totalCount': 77813, 'scriptCount': 77792, 'fullPath': 'admin > accelerators > tpu', 'listingUrl': None, 'tagUrl': '/tags/tpu', 'id': 16574, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-14,2020-10-14
"Data Visualization & Modeling (82% acc, 75% f1)",22,693,4878,78,69,python,Kostiantyn Isaienkov,3,silver,"[{'competitionCount': 7, 'datasetCount': 416, 'name': 'healthcare', 'description': 'AI in healthcare is a growing interest. One of the major problems is simply converting research into an application. Should be easy, right?', 'totalCount': 1061, 'scriptCount': 638, 'fullPath': 'topic > health and fitness > health > healthcare', 'listingUrl': None, 'tagUrl': '/tags/healthcare', 'id': 4202, 'isInherited': False}, {'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}]",TRUE,Python,FALSE,95,2020-10-14,2020-10-14
MalariaSkinClassification - TransferLearning ,0,285,64,6,2,python,MANISH SHARMA,1,,"[{'competitionCount': 0, 'datasetCount': 666, 'name': 'deep learning', 'description': None, 'totalCount': 10087, 'scriptCount': 9421, 'fullPath': 'technique > deep learning', 'listingUrl': None, 'tagUrl': '/tags/deep-learning', 'id': 13310, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 47, 'name': 'transfer learning', 'description': None, 'totalCount': 490, 'scriptCount': 443, 'fullPath': 'technique > transfer learning', 'listingUrl': None, 'tagUrl': '/tags/transfer-learning', 'id': 14221, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 9, 'name': 'torch', 'description': '', 'totalCount': 136, 'scriptCount': 127, 'fullPath': 'packages > torch', 'listingUrl': None, 'tagUrl': '/tags/torch', 'id': 16631, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 49, 'name': 'python', 'description': '', 'totalCount': 838, 'scriptCount': 789, 'fullPath': 'topic > science and technology > computer science > programming > python', 'listingUrl': None, 'tagUrl': '/tags/python', 'id': 16639, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Heart Failure - Model Prediction Comparisons,20,172,1535,42,8,python,Rupesh Deshmukh,2,silver,"[{'competitionCount': 7, 'datasetCount': 416, 'name': 'healthcare', 'description': 'AI in healthcare is a growing interest. One of the major problems is simply converting research into an application. Should be easy, right?', 'totalCount': 1061, 'scriptCount': 638, 'fullPath': 'topic > health and fitness > health > healthcare', 'listingUrl': None, 'tagUrl': '/tags/healthcare', 'id': 4202, 'isInherited': False}, {'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 36, 'name': 'model comparison', 'description': None, 'totalCount': 788, 'scriptCount': 752, 'fullPath': 'technique > model comparison', 'listingUrl': None, 'tagUrl': '/tags/model-comparison', 'id': 13315, 'isInherited': False}]",TRUE,Python,FALSE,42,2020-10-14,2020-10-14
Mechanisms of Action (MoA) Prediction - EDA,2,420,1092,40,8,python,Gunes Evitan,3,silver,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 106, 'datasetCount': 334, 'name': 'tabular data', 'description': None, 'totalCount': 776, 'scriptCount': 336, 'fullPath': 'data type > tabular data', 'listingUrl': None, 'tagUrl': '/tags/tabular-data', 'id': 14101, 'isInherited': False}]",TRUE,Python,FALSE,178,2020-10-14,2020-10-14
Pandas Cheatsheet: 125+ exercises,54,3481,10014,217,49,python,Raja CSP,2,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'pandas', 'description': '', 'totalCount': 398, 'scriptCount': 385, 'fullPath': 'packages > pandas', 'listingUrl': None, 'tagUrl': '/tags/pandas', 'id': 16611, 'isInherited': False}]",TRUE,Python,FALSE,119,2020-10-14,2020-10-14
EDA with R3*ID,19,403,1546,61,10,python,Nitin Datta,3,silver,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}, {'competitionCount': 106, 'datasetCount': 334, 'name': 'tabular data', 'description': None, 'totalCount': 776, 'scriptCount': 336, 'fullPath': 'data type > tabular data', 'listingUrl': None, 'tagUrl': '/tags/tabular-data', 'id': 14101, 'isInherited': False}]",TRUE,Python,FALSE,66,2020-10-14,2020-10-14
INGV_NN_XGB_baseline,2,86,247,6,3,python,Soheil★Star,1,,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'xgboost', 'description': None, 'totalCount': 1315, 'scriptCount': 1302, 'fullPath': 'packages > xgboost', 'listingUrl': None, 'tagUrl': '/tags/xgboost', 'id': 13403, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 125, 'name': 'neural networks', 'description': None, 'totalCount': 1841, 'scriptCount': 1716, 'fullPath': 'technique > neural networks', 'listingUrl': None, 'tagUrl': '/tags/neural-networks', 'id': 13407, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,3,2020-10-14,2020-10-14
MoA DNN Feature Engineering,10,347,1642,25,27,python,ragnar,3,bronze,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,2744,2020-10-14,2020-10-14
